Compound,Tanimoto_SC_ref0_AB,Tanimoto_SC_ref1_AB,Tversky_SC_ref0_AB,Tversky_SC_ref1_AB,Carbo_SC_ref0_AB,Carbo_SC_ref1_AB,SMILES
SC1,0.558954,0.429645,0.835673,0.622644,0.596181,0.486764,CCCCCCCC(=O)Nc1ccccc1
SC10,0.585023,0.495667,0.805534,0.663413,0.584727,0.47627,Cc1cccc(-c2cn(CSc3ccccc3)nn2)c1
SC11,0.613824,0.449078,0.796381,0.642591,0.587234,0.445348,Cc1ccc(Cl)c(NC(=O)c2cccc3ccsc23)c1
SC12,0.582762,0.48393,0.854956,0.676237,0.635841,0.48077,COc1ccc(C)cc1NC(=O)Cc1ccccc1
SC13,0.777597,0.535509,0.89611,0.773937,0.831966,0.550208,Cc1ccc(C)c(NCc2ccccc2)c1
SC14,0.537717,0.805931,0.75672,0.903075,0.541854,0.859526,Cc1cn(-c2cc(Cl)ccc2Oc2ccc(F)cc2)nn1
SC15,0.490443,0.500768,0.810918,0.816639,0.564871,0.540388,Cc1cn(-c2ccccc2)nn1
SC16,0.498105,0.421905,0.874271,0.683327,0.550002,0.448913,COc1ccc(C)cc1NC(=O)c1cccc2c1oc1ccccc12
SC2,0.555827,0.447773,0.860122,0.703226,0.576307,0.453321,Cc1ccc2c(c1)NC(=O)[C@@H](C)S2
SC3,0.64643,0.469644,0.864445,0.682355,0.62727,0.469079,Cc1cccc(NC(=O)c2ccccc2)c1
SC4,0.605994,0.484527,0.862897,0.745999,0.616902,0.503953,C[C@H]1CC(=O)N(c2ccc(Cl)cc2)C1=O
SC5,0.503057,0.4035,0.95198,0.901556,0.595315,0.465629,Cc1cc2c(Cl)cccc2s1
SC6,0.475708,0.403581,0.947587,0.916871,0.605336,0.48169,C/C=C/c1ccccc1Cl
SC7,0.620563,0.539746,0.846852,0.844127,0.65996,0.547346,C/C=C/c1ccccc1Sc1ccc(Cl)cc1
SC8,0.66333,0.492006,0.86265,0.782536,0.690396,0.524861,C/C=C/c1ccccc1OCc1c(Cl)cccc1Cl
SC9,0.637508,0.473189,0.809421,0.698535,0.659036,0.506764,COc1ccc(Cn2ccc3ccc(C)cc32)cc1
decoy_1,0.621673,0.566284,0.834928,0.793937,0.647743,0.566268,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(CCBr)O2
decoy_10,0.55151,0.575089,0.841197,0.789951,0.579148,0.550464,O=C(c1ccc(Br)cc1)c1ccc([N+](=O)[O-])cc1
decoy_100,0.609011,0.526098,0.807597,0.792559,0.616969,0.511573,CC(C)(C)c1cc(C(F)(F)F)c(C#N)c(Cl)n1
decoy_1000,0.647103,0.463214,0.831283,0.697918,0.671846,0.485805,c1ccc(NC[C@H]2CCCCO2)cc1
decoy_1001,0.499414,0.534291,0.747932,0.724401,0.534819,0.588082,c1cc(NC2CCCCCC2)ncn1
decoy_1002,0.485806,0.369351,0.848759,0.655882,0.659983,0.45664,c1ccc(C[NH2+]CC2CCCCC2)cc1
decoy_1003,0.492716,0.400511,0.84264,0.688212,0.665922,0.485972,c1ccc(C[NH2+]C2CCCCCC2)cc1
decoy_1004,0.491484,0.438835,0.87106,0.721567,0.62355,0.447522,c1ccc(OCCC[NH2+]CC2CCCCC2)cc1
decoy_1005,0.446321,0.374902,0.848504,0.676098,0.565814,0.436531,c1ccc(OCCC[NH2+]C2CCCCCCC2)cc1
decoy_1006,0.662605,0.453374,0.833057,0.722457,0.623366,0.474731,c1ccc(OC[C@H]2CCCCO2)cc1
decoy_1007,0.703373,0.485967,0.85828,0.697293,0.696821,0.501877,c1ccc(COC[C@H]2CCCCO2)cc1
decoy_1008,0.615472,0.450721,0.868008,0.762453,0.687022,0.485183,c1ccc(SCC2CCCC2)cc1
decoy_1009,0.65486,0.492167,0.829272,0.730454,0.644565,0.508686,c1ccc(OCCSCC2CCCC2)cc1
decoy_101,0.501336,0.513081,0.707547,0.660784,0.513004,0.480871,CC[C@H](C)n1c(-c2cccs2)nc2ccccc21
decoy_1010,0.550023,0.417446,0.958142,0.878213,0.664435,0.476065,c1ccc(-n2cccc2)cc1
