Compound,Tanimoto_SC_ref0_DB,Tanimoto_SC_ref1_DB,Tversky_SC_ref0_DB,Tversky_SC_ref1_DB,Carbo_SC_ref0_DB,Carbo_SC_ref1_DB,SMILES
SC1,0.44253,0.521115,0.719322,0.708156,0.50135,0.506019,CCCCCCCC(=O)Nc1ccccc1
SC10,0.43004,0.364427,0.667748,0.54404,0.51396,0.415492,Cc1cccc(-c2cn(CSc3ccccc3)nn2)c1
SC11,0.505537,0.550599,0.771976,0.713596,0.598044,0.542814,Cc1ccc(Cl)c(NC(=O)c2cccc3ccsc23)c1
SC12,0.485005,0.579963,0.803476,0.773543,0.586546,0.569072,COc1ccc(C)cc1NC(=O)Cc1ccccc1
SC13,0.544193,0.581356,0.726021,0.811924,0.627793,0.614823,Cc1ccc(C)c(NCc2ccccc2)c1
SC14,0.477299,0.760264,0.706823,0.854868,0.537028,0.730595,Cc1cn(-c2cc(Cl)ccc2Oc2ccc(F)cc2)nn1
SC15,0.396666,0.672753,0.693899,0.982758,0.53319,0.867689,Cc1cn(-c2ccccc2)nn1
SC16,0.423156,0.483212,0.79726,0.747805,0.554585,0.508157,COc1ccc(C)cc1NC(=O)c1cccc2c1oc1ccccc12
SC2,0.337442,0.474053,0.602547,0.728606,0.419866,0.472552,Cc1ccc2c(c1)NC(=O)[C@@H](C)S2
SC3,0.506135,0.556984,0.777623,0.735721,0.531294,0.524195,Cc1cccc(NC(=O)c2ccccc2)c1
SC4,0.41722,0.536771,0.674315,0.791477,0.552494,0.614269,C[C@H]1CC(=O)N(c2ccc(Cl)cc2)C1=O
SC5,0.356135,0.41868,0.776308,0.937551,0.491235,0.48925,Cc1cc2c(Cl)cccc2s1
SC6,0.404977,0.443246,0.847694,0.960491,0.563107,0.534829,C/C=C/c1ccccc1Cl
SC7,0.452609,0.627907,0.704251,0.923425,0.557817,0.649451,C/C=C/c1ccccc1Sc1ccc(Cl)cc1
SC8,0.497902,0.619343,0.71361,0.870888,0.641699,0.590032,C/C=C/c1ccccc1OCc1c(Cl)cccc1Cl
SC9,0.459728,0.552351,0.655706,0.767467,0.524015,0.553381,COc1ccc(Cn2ccc3ccc(C)cc32)cc1
decoy_1,0.515389,0.521694,0.743793,0.758846,0.56201,0.528663,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(CCBr)O2
decoy_10,0.466843,0.462745,0.719716,0.683619,0.505926,0.498192,O=C(c1ccc(Br)cc1)c1ccc([N+](=O)[O-])cc1
decoy_100,0.439705,0.465997,0.635512,0.714789,0.502439,0.472749,CC(C)(C)c1cc(C(F)(F)F)c(C#N)c(Cl)n1
decoy_1000,0.491325,0.515962,0.704045,0.706778,0.5527,0.515985,c1ccc(NC[C@H]2CCCCO2)cc1
decoy_1001,0.306883,0.316115,0.498596,0.48561,0.410291,0.402424,c1cc(NC2CCCCCC2)ncn1
decoy_1002,0.413129,0.477285,0.764451,0.758082,0.551232,0.505683,c1ccc(C[NH2+]CC2CCCCC2)cc1
decoy_1003,0.392482,0.46186,0.751324,0.743992,0.533092,0.517274,c1ccc(C[NH2+]C2CCCCCC2)cc1
decoy_1004,0.377551,0.493836,0.722831,0.812058,0.454423,0.557049,c1ccc(OCCC[NH2+]CC2CCCCC2)cc1
decoy_1005,0.370299,0.437331,0.786703,0.772109,0.528459,0.533502,c1ccc(OCCC[NH2+]C2CCCCCCC2)cc1
decoy_1006,0.49107,0.501144,0.712292,0.707714,0.532037,0.492503,c1ccc(OC[C@H]2CCCCO2)cc1
decoy_1007,0.556281,0.561161,0.749694,0.744796,0.60902,0.518218,c1ccc(COC[C@H]2CCCCO2)cc1
decoy_1008,0.498881,0.497137,0.745642,0.771148,0.57821,0.531669,c1ccc(SCC2CCCC2)cc1
decoy_1009,0.577022,0.589024,0.764329,0.819697,0.646016,0.606698,c1ccc(OCCSCC2CCCC2)cc1
decoy_101,0.469737,0.60548,0.688798,0.764172,0.508885,0.567754,CC[C@H](C)n1c(-c2cccs2)nc2ccccc21
decoy_1011,0.403373,0.474966,0.66551,0.670118,0.550386,0.558161,C1CCC([NH+]2CCCCC2)CC1
decoy_1014,0.359565,0.403264,0.700614,0.694883,0.519355,0.470157,C1CCC([NH+]2CCOCC2)CC1
decoy_1018,0.416659,0.46553,0.654212,0.754442,0.511448,0.502455,c1ccc(NC2CCCC2)cc1
decoy_1019,0.444762,0.46713,0.647765,0.711092,0.527409,0.493794,c1ccc(NC2CCCCC2)cc1
decoy_102,0.526498,0.489052,0.806806,0.827071,0.579354,0.522454,CC(C)CCC[C@@H](C)[C@]1(O)CC[C@H](C)CC1
decoy_1020,0.454962,0.455396,0.77535,0.667619,0.573759,0.505264,C1CCC([NH2+]C2CCCCC2)CC1
decoy_1021,0.496715,0.508273,0.686101,0.732352,0.558162,0.548109,C1=CC[C@@H](CNc2ccccc2)CC1
