Compound,Tanimoto_SC_ref0_AB,Tanimoto_SC_ref1_AB,Tversky_SC_ref0_AB,Tversky_SC_ref1_AB,Carbo_SC_ref0_AB,Carbo_SC_ref1_AB,SMILES
SC1,0.623401,0.839759,0.830683,0.937905,0.672895,0.880276,NC(=[NH2+])c1ccc2nc[nH]c2c1
SC10,0.45743,0.517358,0.674591,0.730778,0.42012,0.457059,[NH3+]Cc1csc(-c2cccs2)n1
SC11,0.556536,0.456362,0.768263,0.722414,0.495223,0.423783,Cc1cc(C[NH3+])nn1C
SC12,0.544596,0.558596,0.857548,0.917128,0.534348,0.535121,[NH3+]Cc1cccc2c1OCCCO2
SC13,0.604633,0.425283,0.871334,0.691411,0.540233,0.396907,[NH3+]Cc1ccc2c(c1)CCO2
SC14,0.60283,0.471941,0.866002,0.812627,0.554587,0.46388,[NH3+]Cc1csc2ccccc12
SC15,0.469938,0.564101,0.738962,0.876919,0.434685,0.496508,[NH3+]Cc1cccc(-n2cccc2)c1
SC16,0.446146,0.570623,0.673072,0.814667,0.415564,0.500812,[NH3+]Cc1cccc(-n2cccn2)c1
SC17,0.536054,0.541091,0.860971,0.902393,0.525386,0.507262,[NH3+]Cc1cccc(N2CCCC2)c1
SC18,0.458116,0.477767,0.797824,0.852383,0.474305,0.480813,COc1cc(C(=O)N2CCC[C@H]2C)ccc1C[NH3+]
SC19,0.575407,0.50288,0.772935,0.720753,0.603747,0.520844,NC(=[NH2+])N1CCCCC1
SC2,0.588589,0.652518,0.816147,0.863418,0.603416,0.660705,C[C@@H]1Nc2sc(C(N)=[NH2+])cc2C[C@@H]1C
SC20,0.637915,0.520459,0.83882,0.824162,0.66969,0.565753,NC1=[NH+]Cc2ccccc21
SC21,0.646121,0.529748,0.8306,0.82921,0.673956,0.583622,NC(=[NH2+])c1ccsc1
SC22,0.583318,0.472355,0.809035,0.730255,0.543222,0.46855,[NH3+]CCc1c[nH]c2ccc(Cl)cc12
SC3,0.526328,0.451816,0.833015,0.801349,0.514721,0.453433,[NH3+]CC1CCCCC1
SC4,0.514842,0.503271,0.725027,0.800119,0.464414,0.462753,[NH3+]Cc1ccc(F)cc1
SC5,0.582717,0.488748,0.859169,0.826906,0.529621,0.472521,[NH3+][C@H]1C[C@@H]1c1ccccc1
SC6,0.514333,0.545514,0.85123,0.819987,0.63212,0.648016,CN1C[C@@H]2[C@H](C1=O)[C@H](c1ccc(C(N)=[NH2+])cc1)N1CCC[C@@H]21
SC7,0.510254,0.422117,0.727562,0.699293,0.503642,0.448702,Nc1[nH]c2ccccc2[nH+]1
SC8,0.464861,0.595227,0.663627,0.861331,0.449225,0.568588,[NH3+]CCc1c[nH]cn1
SC9,0.40845,0.451069,0.65972,0.731222,0.387782,0.407098,Cc1cc(C[NH3+])c(C)o1
decoy_1,0.217844,0.315827,0.456984,0.703921,0.262181,0.382795,O=C1CNC(=O)N1
decoy_10,0.259226,0.328493,0.443545,0.680413,0.307733,0.389896,O=C1CCCCCN1
decoy_100,0.380215,0.297778,0.631984,0.593416,0.43933,0.413695,c1ccc(-c2ccco2)cc1
decoy_1000,0.340928,0.394146,0.588057,0.629366,0.385534,0.423309,O=S1(=O)CC[C@H]([NH2+][C@H]2CCCOC2)C1
decoy_1001,0.445119,0.540374,0.7993,0.915716,0.514226,0.577651,c1cc2ccc(N3CC[NH2+]CC3)[nH+]c2s1
decoy_1001_2,0.535497,0.463651,0.804059,0.742956,0.530119,0.496485,c1cc2ccc(N3CC[NH2+]CC3)nc2s1
decoy_1002,0.247494,0.37773,0.458113,0.703809,0.302987,0.414831,c1coc(C[NH2+][C@H]2CC[C@H]3CCCC[C@@H]32)c1
decoy_1003,0.249983,0.309185,0.463486,0.518519,0.289582,0.335541,c1coc(C[N@@H+]2CCC[C@@H]3CCCC[C@@H]32)c1
decoy_1004,0.401904,0.407395,0.818573,0.848932,0.471776,0.451163,c1ccc(OCCC[NH2+]C2CCCC2)cc1
decoy_1005,0.346938,0.388338,0.821175,0.875596,0.421456,0.443583,c1ccc(OCCC[NH+]2CCCCC2)cc1
decoy_1006,0.263655,0.387556,0.470513,0.852657,0.312608,0.417693,c1coc(C[N@H+]2CC[C@H]3CCCC[C@H]3C2)c1
decoy_1007,0.257338,0.348343,0.472447,0.806331,0.299269,0.362309,c1coc(C[N@@H+]2CCC[C@H]2C2CCCC2)c1
decoy_1008,0.41737,0.535335,0.703326,0.848289,0.518139,0.631471,c1ccc(CNCCN2CC[NH2+]CC2)cc1
decoy_1009,0.363094,0.286273,0.561149,0.509619,0.37495,0.345522,C=C1SSC2=C1c1ccccc1NC2
decoy_101,0.40581,0.33742,0.755257,0.737283,0.437035,0.393239,C1=C[C@@H](c2ccccc2)N=N1
decoy_1010,0.334766,0.359788,0.84127,0.877986,0.40292,0.429306,C1=C[C@H](c2cccs2)c2ccsc2N1
decoy_1011,0.484864,0.623827,0.718065,0.800498,0.538481,0.627896,O=C(Nc1c[nH]c(=O)[nH]c1=O)c1ccc[nH]1
decoy_1012,0.383733,0.437707,0.631014,0.670155,0.390978,0.465254,O=C1c2ccccc2-c2n[nH]c3cccc1c23
decoy_1013,0.520991,0.460338,0.776895,0.729407,0.540272,0.502825,O=c1[nH]cnc2c1ncn2[C@@H]1CCCCO1
decoy_1014,0.419124,0.455123,0.707539,0.746668,0.459415,0.460847,c1cc2c(cc1C[NH+]1CCNCC1)OCO2
decoy_1015,0.267457,0.397157,0.51459,0.765824,0.322412,0.429768,O=C(NC[C@H]1CCCCO1)c1ccccn1
decoy_1016,0.270654,0.412437,0.493303,0.766429,0.322918,0.456535,O=C(NC[C@H]1CCCO1)Nc1ccccc1
decoy_1017,0.28208,0.348286,0.536751,0.60041,0.339963,0.386444,c1ccc(-c2ccn(-c3ccccc3)n2)cc1
decoy_1018,0.282399,0.397524,0.525533,0.867721,0.331996,0.422707,c1ccc(-c2cn(-c3ccccc3)cn2)cc1
decoy_1019,0.299815,0.371985,0.519448,0.602093,0.328347,0.396964,c1ccc2c(Cc3ccncc3)ccnc2c1
decoy_102,0.359843,0.335142,0.636916,0.654929,0.411292,0.403859,O=C1N[C@H]2CSC[C@H]2N1
decoy_1020,0.276806,0.360646,0.49638,0.657864,0.319695,0.379463,C(=C/C1N=c2ccccc2=N1)\c1ccccc1
decoy_1021,0.293579,0.414135,0.48268,0.707064,0.305396,0.403967,c1ccc(/[NH+]=c2\cc[nH]c3ccccc23)cc1
decoy_1022,0.385734,0.546267,0.669203,0.814846,0.460868,0.595515,O=C(Nc1cccnc1)NC1CC[NH2+]CC1
decoy_1023,0.346083,0.420757,0.606943,0.651652,0.379202,0.427984,[NH2+]=C(Nc1ncccn1)NC1CCNCC1
decoy_1024,0.536893,0.429935,0.757506,0.652915,0.541247,0.480352,c1nc(N2CC[NH2+]CC2)c2ccsc2n1
decoy_1025,0.436199,0.448402,0.707933,0.730213,0.493389,0.492674,S=c1[nH]cnn1CNCc1ccccc1
decoy_1026,0.24414,0.319221,0.497133,0.649043,0.296879,0.392591,c1ccc(CCCO[C@@H]2CCCCO2)cc1
decoy_1027,0.284963,0.377282,0.553766,0.712038,0.330547,0.409723,c1ccc(C[NH2+]CCN2CCOCC2)cc1
decoy_1028,0.432265,0.44488,0.774031,0.80213,0.526716,0.513216,c1ccc(OCCCN2CC[NH2+]CC2)cc1
decoy_1029,0.308628,0.355676,0.486291,0.52678,0.318389,0.373844,O=C1c2ccccc2S[C@@H]2C=CS[C@H]12
decoy_103,0.555135,0.445571,0.900052,0.873643,0.593335,0.505601,[NH2+]=c1ccc2ccccc2o1
decoy_1030,0.495877,0.436305,0.736424,0.691412,0.555738,0.502089,O=c1[nH]cnc2c1nnn2[C@@H]1CCCCO1
decoy_1031,0.365431,0.411681,0.909928,0.950758,0.487545,0.495175,c1ccc(-c2ccc(-c3cccnc3)o2)cc1
decoy_1032,0.306726,0.422504,0.499137,0.882592,0.327586,0.436045,c1ccc(/[NH+]=c2/ccc3ccccc3o2)cc1
decoy_1033,0.442294,0.479193,0.822392,0.880717,0.492223,0.513078,[NH2+]=c1cc(-c2ccccc2)oc2ccccc12
decoy_1034,0.351741,0.411276,0.885534,0.950949,0.483946,0.495539,c1ccc(Oc2cccc3ncccc23)cc1
decoy_1035,0.330937,0.374851,0.629574,0.663968,0.359862,0.398539,O=C1CC(c2ccccc2)=c2ccccc2=N1
decoy_1036,0.304852,0.340815,0.527579,0.533181,0.359293,0.392418,c1ccc(-c2[nH]cnc2-c2ccncc2)cc1
decoy_1037,0.283363,0.312502,0.499867,0.499742,0.31732,0.338263,c1ccc(-c2ncnn2-c2ccccc2)cc1
decoy_1038,0.325691,0.273818,0.506603,0.465713,0.32289,0.299416,c1ccc(-c2nncn2-c2ccccc2)cc1
decoy_1039,0.358821,0.415333,0.733177,0.784458,0.439465,0.476246,c1ccc(-c2ccn(-c3ccncc3)n2)cc1
decoy_104,0.532593,0.428994,0.86901,0.848021,0.562501,0.483754,[NH2+]=c1ccc2cccoc-2c1
decoy_1040,0.398457,0.46556,0.616047,0.685932,0.418759,0.461109,O=c1[nH]c(C[NH2+]C2CC2)nc2sccc12
decoy_1041,0.496829,0.519482,0.78697,0.829479,0.547258,0.542818,O=C(CCc1cccs1)Nc1cn[nH]c1
decoy_1042,0.446587,0.478339,0.72401,0.754019,0.506624,0.508552,S=c1[nH]ccc2c1ncn2[C@@H]1CCCO1
decoy_1043,0.339749,0.361841,0.910215,0.942826,0.471295,0.480728,c1ccc(OCCCN2CCOCC2)cc1
decoy_1044,0.315769,0.394643,0.575964,0.694164,0.360913,0.438296,C(\NCCN1CCCC1)=[NH+]/Cc1ccco1
decoy_1045,0.371706,0.485457,0.648473,0.796429,0.437348,0.519432,O=C(NCCc1c[nH+]c[nH]1)C1CCCCC1
decoy_1045_2,0.275567,0.380614,0.547276,0.719066,0.349602,0.442126,O=C(NCCc1cnc[nH]1)C1CCCCC1
decoy_1046,0.300233,0.444063,0.430619,0.745461,0.319417,0.425367,O=C1NC(=S)S/C1=C/c1ccccc1
decoy_1047,0.315592,0.403227,0.560422,0.709445,0.343152,0.417749,c1csc(C[NH2+]CCCn2cccn2)c1
decoy_1048,0.273324,0.383215,0.464553,0.639399,0.288673,0.381174,c1cnn(CCC[NH2+]Cc2ccsc2)c1
decoy_1049,0.46383,0.489793,0.670623,0.684808,0.48897,0.512073,O=c1[nH]cnc2c1[nH]c(=O)n2[C@@H]1CCCO1
decoy_105,0.297972,0.433413,0.457551,0.847394,0.3145,0.439749,O=c1cc[nH]c2ccccc12
decoy_1050,0.291848,0.375116,0.501097,0.613556,0.316635,0.387617,O=c1c(-c2ccccc2)coc2ccccc12
decoy_1051,0.307727,0.383136,0.522582,0.564057,0.338177,0.397572,O=c1cc(-c2ccccc2)oc2ccccc12
decoy_1052,0.29415,0.365775,0.500876,0.547693,0.313247,0.368745,O=c1oc2ccccc2cc1-c1ccccc1
decoy_1053,0.274729,0.341985,0.489991,0.584205,0.306391,0.361604,O=C(c1ccccc1)c1coc2ccccc12
decoy_1054,0.300829,0.3652,0.533788,0.574473,0.33879,0.380998,O=C(c1ccccc1)c1cc2ccccc2o1
decoy_1055,0.361057,0.482544,0.619675,0.853625,0.365578,0.491868,c1ccc(/[NH+]=c2/ccc3ccncc3o2)cc1
decoy_1056,0.292662,0.362112,0.477739,0.595971,0.313051,0.373012,O=C1N=c2ccccc2=N[C@H]1c1ccccc1
decoy_1057,0.281703,0.436855,0.461796,0.772538,0.305953,0.457287,O=c1[nH]c2ccccc2nc1-c1ccccc1
decoy_1058,0.297847,0.328612,0.526199,0.542708,0.337252,0.382521,c1ccc(-n2ncnc2-c2ccncc2)cc1
decoy_1059,0.412824,0.45241,0.708675,0.757488,0.47632,0.497614,C(=N/c1n[nH]c2ncccc12)\c1ccccc1
decoy_106,0.447872,0.364013,0.770025,0.735091,0.512722,0.446475,O=c1ccc2ccccc2[nH]1
decoy_1060,0.302154,0.470288,0.501575,0.764869,0.337811,0.481063,c1cnc2c(Nc3ccncn3)cccc2c1
decoy_1061,0.352717,0.530398,0.594888,0.852143,0.425245,0.574447,c1cc(Nc2ccncn2)c2cccnc2c1
decoy_1062,0.399641,0.448176,0.636232,0.683694,0.45621,0.481924,O=C1NC(=O)[C@H]2CN[C@H](c3cccs3)[C@@H]12
decoy_1063,0.440347,0.466951,0.697366,0.730648,0.507438,0.502569,c1ncc2[nH]c(S[C@H]3CCCO3)nc2n1
