Compound,Tanimoto_SC_ref0_DB,Tanimoto_SC_ref1_DB,Tversky_SC_ref0_DB,Tversky_SC_ref1_DB,Carbo_SC_ref0_DB,Carbo_SC_ref1_DB,SMILES
SC1,0.598071,0.744788,0.80189,0.869596,0.647575,0.791302,NC(=[NH2+])c1ccc2nc[nH]c2c1
SC10,0.557499,0.533245,0.796756,0.804218,0.528,0.499543,[NH3+]Cc1csc(-c2cccs2)n1
SC11,0.516303,0.477828,0.746635,0.746473,0.476299,0.460169,Cc1cc(C[NH3+])nn1C
SC12,0.571177,0.54493,0.884428,0.904522,0.555571,0.516388,[NH3+]Cc1cccc2c1OCCCO2
SC13,0.573687,0.535513,0.855302,0.866855,0.548756,0.50748,[NH3+]Cc1ccc2c(c1)CCO2
SC14,0.477342,0.486343,0.724276,0.775473,0.438815,0.458785,[NH3+]Cc1csc2ccccc12
SC15,0.578901,0.503042,0.907738,0.868476,0.579241,0.526045,[NH3+]Cc1cccc(-n2cccc2)c1
SC16,0.532251,0.492545,0.79438,0.783878,0.529974,0.513834,[NH3+]Cc1cccc(-n2cccn2)c1
SC17,0.509155,0.487428,0.858168,0.885571,0.55041,0.520274,[NH3+]Cc1cccc(N2CCCC2)c1
SC18,0.350185,0.423301,0.662112,0.782364,0.425317,0.469392,COc1cc(C(=O)N2CCC[C@H]2C)ccc1C[NH3+]
SC19,0.53529,0.514083,0.773598,0.755012,0.648509,0.638831,NC(=[NH2+])N1CCCCC1
SC2,0.64505,0.584821,0.888655,0.829322,0.770291,0.674529,C[C@@H]1Nc2sc(C(N)=[NH2+])cc2C[C@@H]1C
SC20,0.562321,0.521176,0.801452,0.828702,0.63295,0.607427,NC1=[NH+]Cc2ccccc21
SC21,0.638332,0.555788,0.882783,0.888589,0.761806,0.660236,NC(=[NH2+])c1ccsc1
SC22,0.458801,0.43536,0.676275,0.652518,0.444392,0.439495,[NH3+]CCc1c[nH]c2ccc(Cl)cc12
SC3,0.517523,0.453743,0.865191,0.843138,0.534462,0.482127,[NH3+]CC1CCCCC1
SC4,0.528367,0.571214,0.766184,0.891915,0.513125,0.588287,[NH3+]Cc1ccc(F)cc1
SC5,0.510896,0.477753,0.77995,0.766687,0.516275,0.480638,[NH3+][C@H]1C[C@@H]1c1ccccc1
SC6,0.440074,0.433691,0.789032,0.737638,0.569383,0.562233,CN1C[C@@H]2[C@H](C1=O)[C@H](c1ccc(C(N)=[NH2+])cc1)N1CCC[C@@H]21
SC7,0.28498,0.297852,0.41979,0.516319,0.299719,0.331732,Nc1[nH]c2ccccc2[nH+]1
SC8,0.474024,0.548793,0.669529,0.808862,0.448766,0.532196,[NH3+]CCc1c[nH]cn1
SC9,0.533479,0.488491,0.808669,0.826865,0.512632,0.486145,Cc1cc(C[NH3+])c(C)o1
decoy_1,0.295825,0.288688,0.625038,0.665618,0.360526,0.359383,O=C1CNC(=O)N1
decoy_10,0.230179,0.286058,0.375145,0.515698,0.270133,0.363385,O=C1CCCCCN1
decoy_100,0.337972,0.285116,0.590771,0.575711,0.399709,0.373139,c1ccc(-c2ccco2)cc1
decoy_1000,0.268761,0.329296,0.472229,0.523413,0.33778,0.37103,O=S1(=O)CC[C@H]([NH2+][C@H]2CCCOC2)C1
decoy_1002,0.195832,0.287668,0.395954,0.614747,0.241578,0.346356,c1coc(C[NH2+][C@H]2CC[C@H]3CCCC[C@@H]32)c1
decoy_1003,0.212292,0.287669,0.414847,0.750728,0.27452,0.337138,c1coc(C[N@@H+]2CCC[C@@H]3CCCC[C@@H]32)c1
decoy_1004,0.204191,0.233271,0.408636,0.432563,0.285869,0.299459,c1ccc(OCCC[NH2+]C2CCCC2)cc1
decoy_1005,0.190791,0.21551,0.387614,0.406672,0.262773,0.28339,c1ccc(OCCC[NH+]2CCCCC2)cc1
decoy_1006,0.183713,0.294609,0.371798,0.763462,0.245067,0.367558,c1coc(C[N@H+]2CC[C@H]3CCCC[C@H]3C2)c1
decoy_1007,0.221936,0.301044,0.428938,0.77383,0.275677,0.341327,c1coc(C[N@@H+]2CCC[C@H]2C2CCCC2)c1
decoy_101,0.288668,0.329924,0.484644,0.638632,0.327197,0.350027,C1=C[C@@H](c2ccccc2)N=N1
decoy_1010,0.24247,0.228856,0.439348,0.461567,0.295762,0.281077,C1=C[C@H](c2cccs2)c2ccsc2N1
decoy_1011,0.358336,0.406114,0.515636,0.565323,0.371448,0.437035,O=C(Nc1c[nH]c(=O)[nH]c1=O)c1ccc[nH]1
decoy_1012,0.306621,0.341663,0.46211,0.592169,0.310139,0.388334,O=C1c2ccccc2-c2n[nH]c3cccc1c23
decoy_1013,0.366108,0.361976,0.611144,0.599047,0.416017,0.417396,O=c1[nH]cnc2c1ncn2[C@@H]1CCCCO1
decoy_1014,0.226823,0.269755,0.396529,0.433791,0.270296,0.30227,c1cc2c(cc1C[NH+]1CCNCC1)OCO2
decoy_1015,0.187389,0.257992,0.371556,0.568963,0.244238,0.315643,O=C(NC[C@H]1CCCCO1)c1ccccn1
decoy_1016,0.190809,0.215774,0.371789,0.468696,0.252847,0.286443,O=C(NC[C@H]1CCCO1)Nc1ccccc1
decoy_1017,0.179949,0.241721,0.408925,0.707587,0.24434,0.318514,c1ccc(-c2ccn(-c3ccccc3)n2)cc1
decoy_1018,0.243262,0.264467,0.450813,0.51918,0.274327,0.323136,c1ccc(-c2cn(-c3ccccc3)cn2)cc1
decoy_1019,0.265105,0.261109,0.461625,0.441943,0.307272,0.336416,c1ccc2c(Cc3ccncc3)ccnc2c1
decoy_102,0.226593,0.307531,0.383483,0.601665,0.262063,0.34491,O=C1N[C@H]2CSC[C@H]2N1
decoy_1020,0.211648,0.233077,0.43553,0.451304,0.26449,0.287524,C(=C/C1N=c2ccccc2=N1)\c1ccccc1
decoy_1021,0.270656,0.244091,0.460207,0.417209,0.310127,0.291934,c1ccc(/[NH+]=c2\cc[nH]c3ccccc23)cc1
decoy_1022,0.386444,0.422288,0.66521,0.677253,0.446675,0.472921,O=C(Nc1cccnc1)NC1CC[NH2+]CC1
decoy_1024,0.436262,0.452482,0.663678,0.710257,0.497721,0.512207,c1nc(N2CC[NH2+]CC2)c2ccsc2n1
decoy_1025,0.235765,0.288575,0.42226,0.527796,0.26781,0.344672,S=c1[nH]cnn1CNCc1ccccc1
decoy_1026,0.19687,0.196553,0.460171,0.421597,0.269688,0.268909,c1ccc(CCCO[C@@H]2CCCCO2)cc1
decoy_1027,0.190297,0.222649,0.381184,0.410958,0.259196,0.274308,c1ccc(C[NH2+]CCN2CCOCC2)cc1
decoy_1028,0.413535,0.401603,0.744595,0.750202,0.476973,0.459334,c1ccc(OCCCN2CC[NH2+]CC2)cc1
decoy_1029,0.249909,0.305552,0.452686,0.759309,0.285614,0.344436,O=C1c2ccccc2S[C@@H]2C=CS[C@H]12
decoy_103,0.524044,0.449361,0.863489,0.851013,0.564841,0.517919,[NH2+]=c1ccc2ccccc2o1
decoy_1030,0.366441,0.366108,0.599693,0.590707,0.422376,0.429765,O=c1[nH]cnc2c1nnn2[C@@H]1CCCCO1
decoy_1031,0.244369,0.238555,0.493002,0.484006,0.293273,0.298511,c1ccc(-c2ccc(-c3cccnc3)o2)cc1
decoy_1032,0.279489,0.274144,0.460228,0.46123,0.315867,0.309363,c1ccc(/[NH+]=c2/ccc3ccccc3o2)cc1
decoy_1033,0.283212,0.218705,0.467529,0.369753,0.341643,0.263985,[NH2+]=c1cc(-c2ccccc2)oc2ccccc12
decoy_1034,0.231882,0.249177,0.419661,0.490874,0.280439,0.305745,c1ccc(Oc2cccc3ncccc23)cc1
decoy_1035,0.238154,0.274501,0.396843,0.456429,0.261605,0.315376,O=C1CC(c2ccccc2)=c2ccccc2=N1
decoy_1036,0.249575,0.269847,0.430697,0.459796,0.287716,0.326437,c1ccc(-c2[nH]cnc2-c2ccncc2)cc1
decoy_1037,0.192347,0.213774,0.349379,0.415463,0.238575,0.284261,c1ccc(-c2ncnn2-c2ccccc2)cc1
decoy_1038,0.254239,0.300337,0.434386,0.607458,0.302114,0.361298,c1ccc(-c2nncn2-c2ccccc2)cc1
decoy_1039,0.311732,0.268709,0.676799,0.64963,0.395673,0.357334,c1ccc(-c2ccn(-c3ccncc3)n2)cc1
decoy_104,0.490092,0.409868,0.834865,0.81221,0.567704,0.494146,[NH2+]=c1ccc2cccoc-2c1
decoy_1040,0.29182,0.298797,0.448886,0.429886,0.335166,0.331685,O=c1[nH]c(C[NH2+]C2CC2)nc2sccc12
decoy_1041,0.352344,0.414747,0.628054,0.753912,0.426241,0.479866,O=C(CCc1cccs1)Nc1cn[nH]c1
decoy_1042,0.304003,0.422879,0.448703,0.78108,0.313318,0.434182,S=c1[nH]ccc2c1ncn2[C@@H]1CCCO1
decoy_1043,0.150684,0.150377,0.32907,0.342994,0.220414,0.261028,c1ccc(OCCCN2CCOCC2)cc1
decoy_1045,0.359598,0.422147,0.638288,0.742066,0.439011,0.487084,O=C(NCCc1c[nH+]c[nH]1)C1CCCCC1
